Time_slot:10-20, pid:36, arrival-time:10, remaining_time:10
Time_slot:20-80, pid:1023, arrival-time:10, remaining_time:160
Time_slot:80-140, pid:123, arrival-time:60, remaining_time:90
Time_slot:140-200, pid:13, arrival-time:70, remaining_time:100
Time_slot:200-228, pid:12, arrival-time:80, remaining_time:28
Time_slot:228-268, pid:1023, arrival-time:10, remaining_time:100
Time_slot:268-298, pid:123, arrival-time:60, remaining_time:30
Time_slot:298-338, pid:13, arrival-time:70, remaining_time:40
Time_slot:338-348, pid:1023, arrival-time:10, remaining_time:60
Time_slot:348-358, pid:1023, arrival-time:10, remaining_time:50
Time_slot:358-368, pid:1023, arrival-time:10, remaining_time:40
Time_slot:368-378, pid:1023, arrival-time:10, remaining_time:30
Time_slot:378-388, pid:1023, arrival-time:10, remaining_time:20
Time_slot:388-398, pid:1023, arrival-time:10, remaining_time:10
